Amplitude,Time
992,2021-09-14 14:27:49.218572
996,2021-09-14 14:27:49.223525
996,2021-09-14 14:27:49.230580
849,2021-09-14 14:27:49.235529
525,2021-09-14 14:27:49.239527
433,2021-09-14 14:27:49.243529
389,2021-09-14 14:27:49.251531
373,2021-09-14 14:27:49.255546
362,2021-09-14 14:27:49.260533
996,2021-09-14 14:27:49.263540
997,2021-09-14 14:27:49.271598
996,2021-09-14 14:27:49.276532
699,2021-09-14 14:27:49.280531
489,2021-09-14 14:27:49.288535
413,2021-09-14 14:27:49.292536
385,2021-09-14 14:27:49.296536
368,2021-09-14 14:27:49.300536
355,2021-09-14 14:27:49.308540
997,2021-09-14 14:27:49.312598
997,2021-09-14 14:27:49.316595
996,2021-09-14 14:27:49.321555
606,2021-09-14 14:27:49.329540
456,2021-09-14 14:27:49.333541
405,2021-09-14 14:27:49.337542
379,2021-09-14 14:27:49.346546
361,2021-09-14 14:27:49.349599
358,2021-09-14 14:27:49.354546
997,2021-09-14 14:27:49.358549
997,2021-09-14 14:27:49.365548
928,2021-09-14 14:27:49.370550
542,2021-09-14 14:27:49.374553
438,2021-09-14 14:27:49.378553
395,2021-09-14 14:27:49.386571
370,2021-09-14 14:27:49.390553
364,2021-09-14 14:27:49.394555
997,2021-09-14 14:27:49.398555
996,2021-09-14 14:27:49.407562
996,2021-09-14 14:27:49.411562
751,2021-09-14 14:27:49.415562
502,2021-09-14 14:27:49.423562
422,2021-09-14 14:27:49.427565
384,2021-09-14 14:27:49.431566
372,2021-09-14 14:27:49.435567
357,2021-09-14 14:27:49.443570
996,2021-09-14 14:27:49.447567
997,2021-09-14 14:27:49.452571
996,2021-09-14 14:27:49.456573
642,2021-09-14 14:27:49.464574
470,2021-09-14 14:27:49.468576
405,2021-09-14 14:27:49.473579
383,2021-09-14 14:27:49.480576
364,2021-09-14 14:27:49.484577
356,2021-09-14 14:27:49.489582
997,2021-09-14 14:27:49.493583
996,2021-09-14 14:27:49.501584
997,2021-09-14 14:27:49.505585
568,2021-09-14 14:27:49.509585
443,2021-09-14 14:27:49.513586
400,2021-09-14 14:27:49.521588
374,2021-09-14 14:27:49.525590
361,2021-09-14 14:27:49.530593
995,2021-09-14 14:27:49.537593
997,2021-09-14 14:27:49.542596
996,2021-09-14 14:27:49.546595
814,2021-09-14 14:27:49.550597
515,2021-09-14 14:27:49.558599
430,2021-09-14 14:27:49.566602
388,2021-09-14 14:27:49.569602
370,2021-09-14 14:27:49.571603
362,2021-09-14 14:27:49.579603
997,2021-09-14 14:27:49.583604
997,2021-09-14 14:27:49.587606
996,2021-09-14 14:27:49.591607
680,2021-09-14 14:27:49.599608
483,2021-09-14 14:27:49.603609
412,2021-09-14 14:27:49.608612
382,2021-09-14 14:27:49.615613
369,2021-09-14 14:27:49.620615
354,2021-09-14 14:27:49.624616
997,2021-09-14 14:27:49.628616
996,2021-09-14 14:27:49.636617
997,2021-09-14 14:27:49.640619
595,2021-09-14 14:27:49.644620
453,2021-09-14 14:27:49.649623
401,2021-09-14 14:27:49.656677
378,2021-09-14 14:27:49.660678
360,2021-09-14 14:27:49.665628
983,2021-09-14 14:27:49.673628
996,2021-09-14 14:27:49.677628
996,2021-09-14 14:27:49.681629
888,2021-09-14 14:27:49.685630
534,2021-09-14 14:27:49.693679
433,2021-09-14 14:27:49.697633
394,2021-09-14 14:27:49.702636
369,2021-09-14 14:27:49.706636
363,2021-09-14 14:27:49.714636
997,2021-09-14 14:27:49.718639
996,2021-09-14 14:27:49.722640
996,2021-09-14 14:27:49.730641
727,2021-09-14 14:27:49.734672
494,2021-09-14 14:27:49.739645
420,2021-09-14 14:27:49.743644
382,2021-09-14 14:27:49.751645
370,2021-09-14 14:27:49.755647
358,2021-09-14 14:27:49.759647
997,2021-09-14 14:27:49.763649
998,2021-09-14 14:27:49.771649
997,2021-09-14 14:27:49.776653
625,2021-09-14 14:27:49.779672
466,2021-09-14 14:27:49.784654
403,2021-09-14 14:27:49.792658
381,2021-09-14 14:27:49.796656
365,2021-09-14 14:27:49.800656
353,2021-09-14 14:27:49.808660
997,2021-09-14 14:27:49.812660
996,2021-09-14 14:27:49.816661
994,2021-09-14 14:27:49.821663
557,2021-09-14 14:27:49.828721
439,2021-09-14 14:27:49.833666
398,2021-09-14 14:27:49.837668
374,2021-09-14 14:27:49.841672
359,2021-09-14 14:27:49.849669
995,2021-09-14 14:27:49.853686
996,2021-09-14 14:27:49.857699
996,2021-09-14 14:27:49.865725
786,2021-09-14 14:27:49.870671
508,2021-09-14 14:27:49.874676
426,2021-09-14 14:27:49.878675
388,2021-09-14 14:27:49.886677
367,2021-09-14 14:27:49.891678
361,2021-09-14 14:27:49.894677
996,2021-09-14 14:27:49.898677
997,2021-09-14 14:27:49.906704
997,2021-09-14 14:27:49.910719
662,2021-09-14 14:27:49.914740
478,2021-09-14 14:27:49.923684
410,2021-09-14 14:27:49.927701
379,2021-09-14 14:27:49.931708
368,2021-09-14 14:27:49.935688
355,2021-09-14 14:27:49.943711
996,2021-09-14 14:27:49.947689
996,2021-09-14 14:27:49.951691
997,2021-09-14 14:27:49.956694
583,2021-09-14 14:27:49.963757
450,2021-09-14 14:27:49.968694
398,2021-09-14 14:27:49.972697
378,2021-09-14 14:27:49.976696
360,2021-09-14 14:27:49.984844
992,2021-09-14 14:27:49.988700
997,2021-09-14 14:27:49.992701
996,2021-09-14 14:27:50.000703
853,2021-09-14 14:27:50.004764
527,2021-09-14 14:27:50.009706
429,2021-09-14 14:27:50.013705
393,2021-09-14 14:27:50.021707
369,2021-09-14 14:27:50.025711
361,2021-09-14 14:27:50.029711
996,2021-09-14 14:27:50.033709
997,2021-09-14 14:27:50.041713
996,2021-09-14 14:27:50.046716
708,2021-09-14 14:27:50.050715
487,2021-09-14 14:27:50.058718
418,2021-09-14 14:27:50.062719
382,2021-09-14 14:27:50.066718
368,2021-09-14 14:27:50.070719
359,2021-09-14 14:27:50.079726
997,2021-09-14 14:27:50.082723
997,2021-09-14 14:27:50.086725
996,2021-09-14 14:27:50.091729
609,2021-09-14 14:27:50.099729
462,2021-09-14 14:27:50.103729
